Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_Handling Alerts, Dialog Boxes, and Dro_d965ab/button_Enroll""), 0)",Chrome 118.0.0.0,,,2023-11-01 14:51:38,2023-11-01 14:51:39,0.828s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 14:51:39,2023-11-01 14:51:40,0.623s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:40,2023-11-01 14:51:40,0.003s,PASSED
,,,,,,,
Test Cases/Katalon Download Studio check,Chrome 118.0.0.0,,,2023-11-01 14:51:40,2023-11-01 14:51:55,15.410s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:40,2023-11-01 14:51:40,0.002s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:51:40,2023-11-01 14:51:43,3.051s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 14:51:43,2023-11-01 14:51:47,3.864s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:51:47,2023-11-01 14:51:47,0.174s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-11-01 14:51:47,2023-11-01 14:51:49,1.729s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/a_Download Studio""))",Chrome 118.0.0.0,,,2023-11-01 14:51:49,2023-11-01 14:51:51,2.213s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio Free Download  Katalon/div_Windows 64macOSmacOS (Intel)macOS (Appl_b3af3d""))",Chrome 118.0.0.0,,,2023-11-01 14:51:51,2023-11-01 14:51:52,0.991s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio Free Download  Katalon/div_Windows 64""))",Chrome 118.0.0.0,,,2023-11-01 14:51:52,2023-11-01 14:51:52,0.393s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio Free Download  Katalon/div_Ver. 9.0.0Ver. 8.6.8Ver. 9.0.0""))",Chrome 118.0.0.0,,,2023-11-01 14:51:52,2023-11-01 14:51:53,0.581s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio Free Download  Katalon/div_Ver. 8.6.8""))",Chrome 118.0.0.0,,,2023-11-01 14:51:53,2023-11-01 14:51:54,0.811s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_Katalon Studio Free Download  Katalon/div_Download""), 0)",Chrome 118.0.0.0,,,2023-11-01 14:51:54,2023-11-01 14:51:54,0.530s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Katalon/Page_Katalon Studio Free Download  Katalon/div_Download""))",Chrome 118.0.0.0,,,2023-11-01 14:51:54,2023-11-01 14:51:54,0.312s,PASSED
"verifyElementText(findTestObject(""Object Repository/Katalon/Page_Katalon Studio Free Download  Katalon/a_Sign up now -""), ""Sign up now ->"")",Chrome 118.0.0.0,,,2023-11-01 14:51:54,2023-11-01 14:51:55,0.299s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 14:51:55,2023-11-01 14:51:55,0.339s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:55,2023-11-01 14:51:55,0.002s,PASSED
,,,,,,,
Test Cases/Katalon Price Check,Chrome 118.0.0.0,,,2023-11-01 14:51:55,2023-11-01 14:52:11,15.517s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:55,2023-11-01 14:51:55,0.002s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:51:55,2023-11-01 14:51:58,2.831s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 14:51:58,2023-11-01 14:52:01,3.207s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:52:01,2023-11-01 14:52:01,0.154s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-11-01 14:52:01,2023-11-01 14:52:03,1.874s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/div_Pricing""))",Chrome 118.0.0.0,,,2023-11-01 14:52:03,2023-11-01 14:52:06,2.720s,PASSED
"setText(findTestObject(""Object Repository/Katalon/Page_Software Quality Management Platform  _0ea48f/inputinput_platform_kse_number""), ""5"")",Chrome 118.0.0.0,,,2023-11-01 14:52:06,2023-11-01 14:52:08,1.628s,PASSED
"setText(findTestObject(""Object Repository/Katalon/Page_Software Quality Management Platform  _0ea48f/inputinput_platform_testcloud_number""), ""5"")",Chrome 118.0.0.0,,,2023-11-01 14:52:08,2023-11-01 14:52:09,1.477s,PASSED
"setText(findTestObject(""Object Repository/Katalon/Page_Software Quality Management Platform  _0ea48f/inputinput_platform_kre_number""), ""5"")",Chrome 118.0.0.0,,,2023-11-01 14:52:09,2023-11-01 14:52:10,1.103s,PASSED
"scrollToPosition(0, 3)",Chrome 118.0.0.0,,,2023-11-01 14:52:10,2023-11-01 14:52:10,0.028s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 14:52:10,2023-11-01 14:52:11,0.395s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 14:52:11,2023-11-01 14:52:11,0.001s,PASSED
,,,,,,,
Test Cases/Search Automation within Deloitte site,Chrome 118.0.0.0,,,2023-11-01 14:54:28,2023-11-01 14:55:12,44.186s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:54:28,2023-11-01 14:54:28,0.001s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:54:28,2023-11-01 14:54:31,3.122s,PASSED
"navigateToUrl(""https://www2.deloitte.com/us/en.html"")",Chrome 118.0.0.0,,,2023-11-01 14:54:31,2023-11-01 14:54:34,2.832s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:54:34,2023-11-01 14:54:34,0.180s,PASSED
"click(findTestObject(""Object Repository/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/button_Accept and close""))",Chrome 118.0.0.0,,,2023-11-01 14:54:34,2023-11-01 14:54:39,5.063s,PASSED
"setText(findTestObject(""Object Repository/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/input_cmp-advanced-search__input ng-untouch_fd955c""), ""Automation"")",Chrome 118.0.0.0,,,2023-11-01 14:54:39,2023-11-01 14:54:40,1.030s,PASSED
"click(findTestObject(""Object Repository/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/i_icon-search""))",Chrome 118.0.0.0,,,2023-11-01 14:54:40,2023-11-01 14:54:41,0.389s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Deloitte Search Basic/a_Deloitte and Automation Anywhere Alliance""), 0)",Chrome 118.0.0.0,,,2023-11-01 14:54:41,2023-11-01 14:55:12,31.551s,FAILED
